applicant_id,age,gender,state,area_type,occupation,education_level,annual_income_inr,is_student,is_farmer,land_holding_acres,has_disability,is_senior_citizen,has_aadhaar,has_income_cert,has_bank_passbook,has_edu_cert,document_readiness_score,scheme_id,scheme_name,scheme_category,max_income_limit,scheme_benefit_value_inr,eligibility_match_score,grant_probability,processing_days,disbursed_grant_inr,application_outcome,is_approved
APP-100000,41,Female,Karnataka,Rural,Farmer,Below 10th,150321,0,1,5.03,0,0,1,1,1,0,87.5,scheme-013,Old Age Pension Scheme,Social Security,150000,24192,35,0.5969,52,0,REJECTED,0
APP-100001,26,Male,Telangana,Rural,Daily wage worker,12th Pass,131702,0,0,0.0,0,0,1,1,1,1,100.0,scheme-010,Women Entrepreneurship Loan,Entrepreneurship,500000,100000,85,0.9352,5,93516,APPROVED,1
APP-100002,27,Male,Maharashtra,Urban,Farmer,12th Pass,108031,0,1,2.24,1,0,1,1,1,1,100.0,scheme-001,National Merit Scholarship,Education,300000,20000,100,0.99,8,19800,APPROVED,1
APP-100003,24,Male,Tamil Nadu,Rural,Farmer,12th Pass,226320,0,1,0.09,0,0,1,1,1,1,100.0,scheme-002,Post-Matric BC Scholarship,Education,200000,35000,65,0.7633,48,0,REJECTED,0
APP-100004,16,Female,Maharashtra,Rural,Student,Postgraduate,179069,1,0,0.0,0,0,1,1,1,1,100.0,scheme-007,Youth Internship Programme,Employment,400000,66000,70,0.8487,16,56013,APPROVED,1
APP-100005,36,Male,Telangana,Rural,Student,10th Pass,37987,1,0,0.0,0,0,1,1,1,1,100.0,scheme-002,Post-Matric BC Scholarship,Education,200000,35000,70,0.7866,18,27530,APPROVED,1
APP-100006,39,Male,Bihar,Rural,Retired,Undergraduate,40000,0,0,0.0,1,0,1,1,1,1,100.0,scheme-005,Ayushman Bharat Health Cover,Health,250000,500000,100,0.99,17,495000,APPROVED,1
APP-100007,48,Male,Andhra Pradesh,Rural,Salaried,12th Pass,638749,0,0,0.0,0,0,1,1,1,1,100.0,scheme-013,Old Age Pension Scheme,Social Security,150000,24192,35,0.5583,43,0,REJECTED,0
APP-100008,16,Female,Tamil Nadu,Urban,Student,12th Pass,20000,1,0,0.0,0,0,1,1,1,0,87.5,scheme-013,Old Age Pension Scheme,Social Security,150000,24192,70,0.7134,19,17259,APPROVED,1
APP-100009,46,Female,Bihar,Rural,Daily wage worker,12th Pass,113481,0,0,0.0,0,0,1,1,1,1,100.0,scheme-006,Skill Development Stipend,Employment,350000,18000,70,0.793,12,14275,APPROVED,1
APP-100010,16,Female,Telangana,Rural,Student,Undergraduate,31176,1,0,0.0,0,0,1,1,1,1,100.0,scheme-013,Old Age Pension Scheme,Social Security,150000,24192,70,0.7965,9,19269,APPROVED,1
APP-100011,42,Female,Bihar,Rural,Homemaker,12th Pass,358982,0,0,0.0,0,0,1,1,1,1,100.0,scheme-010,Women Entrepreneurship Loan,Entrepreneurship,500000,100000,100,0.9719,10,97192,APPROVED,1
APP-100012,27,Female,Madhya Pradesh,Rural,Student,12th Pass,30140,1,0,0.0,0,0,1,0,1,1,75.0,scheme-002,Post-Matric BC Scholarship,Education,200000,35000,100,0.854,12,29889,APPROVED,1
APP-100013,21,Female,Andhra Pradesh,Rural,Student,Undergraduate,54236,1,0,0.0,0,0,1,1,1,1,100.0,scheme-005,Ayushman Bharat Health Cover,Health,250000,500000,100,0.99,5,495000,APPROVED,1
APP-100014,16,Male,Karnataka,Rural,Farmer,10th Pass,90518,0,1,5.97,0,0,1,1,1,1,100.0,scheme-013,Old Age Pension Scheme,Social Security,150000,24192,70,0.782,9,18918,APPROVED,1
APP-100015,39,Male,Tamil Nadu,Urban,Farmer,Undergraduate,159483,0,1,1.15,0,0,1,1,1,1,100.0,scheme-009,Rural Housing Assistance,Housing,180000,130000,100,0.99,20,128700,APPROVED,1
APP-100016,19,Female,Andhra Pradesh,Rural,Farmer,12th Pass,165382,0,1,2.83,0,0,1,1,1,1,100.0,scheme-006,Skill Development Stipend,Employment,350000,18000,100,0.99,9,17820,APPROVED,1
APP-100017,44,Male,Tamil Nadu,Rural,Unemployed,Below 10th,73255,0,0,0.0,0,0,1,0,1,0,62.5,scheme-006,Skill Development Stipend,Employment,350000,18000,70,0.6424,14,11564,APPROVED,1
APP-100018,47,Female,Karnataka,Rural,Farmer,Below 10th,73839,0,1,5.69,0,0,1,1,1,0,87.5,scheme-004,Kisan Credit Card Subsidy,Agriculture,500000,15000,100,0.9666,18,14500,APPROVED,1
APP-100019,16,Female,Madhya Pradesh,Urban,Student,Undergraduate,123277,1,0,0.0,0,0,1,1,1,1,100.0,scheme-003,PM Kisan Samman Nidhi,Agriculture,400000,6000,50,0.6222,47,0,REJECTED,0
APP-100020,47,Male,Telangana,Urban,Farmer,10th Pass,290604,0,1,2.64,0,0,1,1,1,1,100.0,scheme-004,Kisan Credit Card Subsidy,Agriculture,500000,15000,100,0.99,16,14850,APPROVED,1
APP-100021,18,Male,Andhra Pradesh,Urban,Daily wage worker,Undergraduate,142882,0,0,0.0,0,0,1,1,1,1,100.0,scheme-009,Rural Housing Assistance,Housing,180000,130000,70,0.8809,10,114513,APPROVED,1
APP-100022,21,Male,Telangana,Urban,Student,10th Pass,267126,1,0,0.0,0,0,1,1,1,1,100.0,scheme-021,Student Laptop & Digital Aid,Education,250000,25000,65,0.8209,50,0,REJECTED,0
APP-100023,77,Male,Telangana,Urban,Retired,10th Pass,231251,0,0,0.0,0,1,1,0,1,1,75.0,scheme-004,Kisan Credit Card Subsidy,Agriculture,500000,15000,50,0.5892,43,0,REJECTED,0
APP-100024,32,Female,Gujarat,Urban,Farmer,10th Pass,211823,0,1,4.76,0,0,1,0,1,1,75.0,scheme-007,Youth Internship Programme,Employment,400000,66000,70,0.6805,11,44910,APPROVED,1
APP-100025,45,Female,Karnataka,Rural,Daily wage worker,Postgraduate,113699,0,0,0.0,0,0,1,1,1,1,100.0,scheme-013,Old Age Pension Scheme,Social Security,150000,24192,70,0.8073,5,19531,APPROVED,1
APP-100026,39,Female,Uttar Pradesh,Rural,Farmer,Undergraduate,199254,0,1,4.15,0,0,1,1,1,1,100.0,scheme-004,Kisan Credit Card Subsidy,Agriculture,500000,15000,100,0.99,35,14850,APPROVED,1
APP-100027,43,Female,Bihar,Urban,Student,10th Pass,20000,1,0,0.0,0,0,1,1,1,0,87.5,scheme-008,Affordable Housing Subsidy,Housing,300000,180000,100,0.99,10,178200,APPROVED,1
APP-100028,35,Male,Maharashtra,Rural,Daily wage worker,Below 10th,74275,0,0,0.0,0,0,1,1,1,0,87.5,scheme-001,National Merit Scholarship,Education,300000,20000,70,0.7479,22,14957,APPROVED,1
APP-100029,36,Male,Karnataka,Rural,Farmer,12th Pass,310076,0,1,3.24,0,0,1,0,1,1,75.0,scheme-007,Youth Internship Programme,Employment,400000,66000,70,0.7429,15,49029,APPROVED,1
APP-100030,41,Male,Bihar,Rural,Student,Below 10th,20000,1,0,0.0,0,0,1,1,0,0,62.5,scheme-008,Affordable Housing Subsidy,Housing,300000,180000,100,0.8379,26,150818,APPROVED,1
APP-100031,28,Male,Maharashtra,Urban,Daily wage worker,10th Pass,97286,0,0,0.0,0,0,1,1,1,1,100.0,scheme-004,Kisan Credit Card Subsidy,Agriculture,500000,15000,80,0.9549,55,0,REJECTED,0
APP-100032,16,Male,Uttar Pradesh,Rural,Student,Below 10th,20000,1,0,0.0,0,0,1,1,1,0,87.5,scheme-010,Women Entrepreneurship Loan,Entrepreneurship,500000,100000,55,0.6444,12,64438,APPROVED,1
APP-100033,63,Male,Maharashtra,Rural,Retired,10th Pass,40000,0,0,0.0,0,1,1,1,1,1,100.0,scheme-002,Post-Matric BC Scholarship,Education,200000,35000,70,0.753,21,26355,APPROVED,1
APP-100034,55,Male,Andhra Pradesh,Rural,Student,Graduate,128996,1,0,0.0,0,0,1,1,1,1,100.0,scheme-010,Women Entrepreneurship Loan,Entrepreneurship,500000,100000,85,0.8944,12,89440,APPROVED,1
APP-100035,44,Female,Andhra Pradesh,Rural,Student,12th Pass,340575,1,0,0.0,0,0,1,1,1,1,100.0,scheme-006,Skill Development Stipend,Employment,350000,18000,70,0.81,14,14581,APPROVED,1
APP-100036,32,Female,Telangana,Rural,Farmer,Below 10th,179669,0,1,0.18,0,0,1,1,1,0,87.5,scheme-002,Post-Matric BC Scholarship,Education,200000,35000,100,0.9313,18,32597,APPROVED,1
